panmictic_afs,observed_afs_M0.05_nsegsites500,observed_afs_M0.05_nsegsites1000,observed_afs_M0.05_nsegsites5000,observed_afs_M0.05_nsegsites10000,expected_afs_M0.05,observed_afs_M4.214583333333334_nsegsites500,observed_afs_M4.214583333333334_nsegsites1000,observed_afs_M4.214583333333334_nsegsites5000,observed_afs_M4.214583333333334_nsegsites10000,expected_afs_M4.214583333333334,observed_afs_M8.379166666666668_nsegsites500,observed_afs_M8.379166666666668_nsegsites1000,observed_afs_M8.379166666666668_nsegsites5000,observed_afs_M8.379166666666668_nsegsites10000,expected_afs_M8.379166666666668,observed_afs_M12.543750000000003_nsegsites500,observed_afs_M12.543750000000003_nsegsites1000,observed_afs_M12.543750000000003_nsegsites5000,observed_afs_M12.543750000000003_nsegsites10000,expected_afs_M12.543750000000003,observed_afs_M16.708333333333336_nsegsites500,observed_afs_M16.708333333333336_nsegsites1000,observed_afs_M16.708333333333336_nsegsites5000,observed_afs_M16.708333333333336_nsegsites10000,expected_afs_M16.708333333333336,observed_afs_M20.87291666666667_nsegsites500,observed_afs_M20.87291666666667_nsegsites1000,observed_afs_M20.87291666666667_nsegsites5000,observed_afs_M20.87291666666667_nsegsites10000,expected_afs_M20.87291666666667,observed_afs_M25.037500000000005_nsegsites500,observed_afs_M25.037500000000005_nsegsites1000,observed_afs_M25.037500000000005_nsegsites5000,observed_afs_M25.037500000000005_nsegsites10000,expected_afs_M25.037500000000005,observed_afs_M29.202083333333338_nsegsites500,observed_afs_M29.202083333333338_nsegsites1000,observed_afs_M29.202083333333338_nsegsites5000,observed_afs_M29.202083333333338_nsegsites10000,expected_afs_M29.202083333333338,observed_afs_M33.36666666666667_nsegsites500,observed_afs_M33.36666666666667_nsegsites1000,observed_afs_M33.36666666666667_nsegsites5000,observed_afs_M33.36666666666667_nsegsites10000,expected_afs_M33.36666666666667,observed_afs_M37.53125_nsegsites500,observed_afs_M37.53125_nsegsites1000,observed_afs_M37.53125_nsegsites5000,observed_afs_M37.53125_nsegsites10000,expected_afs_M37.53125,observed_afs_M41.69583333333333_nsegsites500,observed_afs_M41.69583333333333_nsegsites1000,observed_afs_M41.69583333333333_nsegsites5000,observed_afs_M41.69583333333333_nsegsites10000,expected_afs_M41.69583333333333,observed_afs_M45.860416666666666_nsegsites500,observed_afs_M45.860416666666666_nsegsites1000,observed_afs_M45.860416666666666_nsegsites5000,observed_afs_M45.860416666666666_nsegsites10000,expected_afs_M45.860416666666666,observed_afs_M50.025000000000006_nsegsites500,observed_afs_M50.025000000000006_nsegsites1000,observed_afs_M50.025000000000006_nsegsites5000,observed_afs_M50.025000000000006_nsegsites10000,expected_afs_M50.025000000000006,observed_afs_M54.18958333333334_nsegsites500,observed_afs_M54.18958333333334_nsegsites1000,observed_afs_M54.18958333333334_nsegsites5000,observed_afs_M54.18958333333334_nsegsites10000,expected_afs_M54.18958333333334,observed_afs_M58.35416666666667_nsegsites500,observed_afs_M58.35416666666667_nsegsites1000,observed_afs_M58.35416666666667_nsegsites5000,observed_afs_M58.35416666666667_nsegsites10000,expected_afs_M58.35416666666667,observed_afs_M62.518750000000004_nsegsites500,observed_afs_M62.518750000000004_nsegsites1000,observed_afs_M62.518750000000004_nsegsites5000,observed_afs_M62.518750000000004_nsegsites10000,expected_afs_M62.518750000000004,observed_afs_M66.68333333333334_nsegsites500,observed_afs_M66.68333333333334_nsegsites1000,observed_afs_M66.68333333333334_nsegsites5000,observed_afs_M66.68333333333334_nsegsites10000,expected_afs_M66.68333333333334,observed_afs_M70.84791666666668_nsegsites500,observed_afs_M70.84791666666668_nsegsites1000,observed_afs_M70.84791666666668_nsegsites5000,observed_afs_M70.84791666666668_nsegsites10000,expected_afs_M70.84791666666668,observed_afs_M75.0125_nsegsites500,observed_afs_M75.0125_nsegsites1000,observed_afs_M75.0125_nsegsites5000,observed_afs_M75.0125_nsegsites10000,expected_afs_M75.0125,observed_afs_M79.17708333333334_nsegsites500,observed_afs_M79.17708333333334_nsegsites1000,observed_afs_M79.17708333333334_nsegsites5000,observed_afs_M79.17708333333334_nsegsites10000,expected_afs_M79.17708333333334,observed_afs_M83.34166666666667_nsegsites500,observed_afs_M83.34166666666667_nsegsites1000,observed_afs_M83.34166666666667_nsegsites5000,observed_afs_M83.34166666666667_nsegsites10000,expected_afs_M83.34166666666667,observed_afs_M87.50625000000001_nsegsites500,observed_afs_M87.50625000000001_nsegsites1000,observed_afs_M87.50625000000001_nsegsites5000,observed_afs_M87.50625000000001_nsegsites10000,expected_afs_M87.50625000000001,observed_afs_M91.67083333333333_nsegsites500,observed_afs_M91.67083333333333_nsegsites1000,observed_afs_M91.67083333333333_nsegsites5000,observed_afs_M91.67083333333333_nsegsites10000,expected_afs_M91.67083333333333,observed_afs_M95.83541666666667_nsegsites500,observed_afs_M95.83541666666667_nsegsites1000,observed_afs_M95.83541666666667_nsegsites5000,observed_afs_M95.83541666666667_nsegsites10000,expected_afs_M95.83541666666667,observed_afs_M100.0_nsegsites500,observed_afs_M100.0_nsegsites1000,observed_afs_M100.0_nsegsites5000,observed_afs_M100.0_nsegsites10000,expected_afs_M100.0
0.3534857623790153,0.058,0.033,0.039,0.0417,0.0416577,0.39,0.341,0.3356,0.3365,0.340024,0.366,0.363,0.3504,0.3439,0.348554,0.336,0.337,0.3394,0.3524,0.350802,0.358,0.344,0.3586,0.3596,0.351742,0.312,0.345,0.346,0.3514,0.352234,0.362,0.373,0.3534,0.3577,0.352527,0.366,0.35,0.3442,0.3517,0.352718,0.366,0.37,0.3596,0.3577,0.352851,0.326,0.352,0.3552,0.3537,0.352948,0.36,0.389,0.3596,0.3577,0.353021,0.366,0.368,0.3584,0.3553,0.353078,0.41,0.401,0.3662,0.3654,0.353123,0.418,0.389,0.3628,0.3583,0.35316,0.39,0.361,0.3582,0.355,0.35319,0.372,0.374,0.3666,0.3684,0.353216,0.38,0.376,0.3694,0.3618,0.353237,0.39,0.358,0.3722,0.3719,0.353256,0.376,0.343,0.3568,0.3644,0.353272,0.384,0.358,0.3514,0.358,0.353286,0.378,0.346,0.3546,0.3588,0.353299,0.378,0.35,0.351,0.3598,0.35331,0.398,0.367,0.3598,0.3626,0.35332,0.368,0.351,0.3514,0.3638,0.353329,0.366,0.341,0.3596,0.3628,0.353337
0.17674288118950765,0.474,0.498,0.4388,0.4269,0.433143,0.152,0.177,0.191,0.1901,0.182954,0.184,0.181,0.182,0.1847,0.178928,0.162,0.167,0.182,0.1768,0.1779,0.184,0.171,0.1802,0.1771,0.177477,0.188,0.178,0.1766,0.1764,0.177258,0.178,0.172,0.178,0.1781,0.17713,0.19,0.198,0.1902,0.1831,0.177047,0.186,0.18,0.1642,0.1689,0.17699,0.212,0.198,0.1778,0.1754,0.176949,0.196,0.19,0.1846,0.178,0.176918,0.17,0.171,0.1702,0.1767,0.176895,0.164,0.181,0.175,0.1797,0.176876,0.166,0.177,0.18,0.1812,0.176862,0.192,0.2,0.177,0.1775,0.176849,0.184,0.185,0.1732,0.1688,0.176839,0.15,0.179,0.1708,0.1742,0.176831,0.196,0.195,0.1732,0.1754,0.176823,0.164,0.172,0.1722,0.173,0.176817,0.148,0.158,0.1664,0.1746,0.176812,0.14,0.146,0.1642,0.1718,0.176807,0.182,0.169,0.1754,0.1766,0.176803,0.164,0.146,0.161,0.1693,0.176799,0.18,0.162,0.177,0.1754,0.176796,0.186,0.185,0.1832,0.1799,0.176793
0.11782858745967177,0.024,0.013,0.0544,0.0404,0.0309906,0.144,0.126,0.124,0.121,0.120064,0.136,0.121,0.1234,0.1259,0.118687,0.114,0.109,0.1156,0.1124,0.118299,0.122,0.126,0.1244,0.1187,0.118134,0.106,0.107,0.1186,0.1154,0.118048,0.084,0.097,0.1158,0.1129,0.117997,0.108,0.109,0.1204,0.1195,0.117963,0.132,0.14,0.1262,0.1229,0.11794,0.11,0.102,0.11,0.1206,0.117923,0.136,0.121,0.118,0.1172,0.11791,0.108,0.121,0.1232,0.1176,0.1179,0.112,0.105,0.1158,0.1151,0.117893,0.092,0.1,0.1034,0.1144,0.117886,0.088,0.109,0.1214,0.1247,0.117881,0.106,0.118,0.1196,0.1161,0.117876,0.106,0.112,0.1158,0.1151,0.117873,0.106,0.124,0.1138,0.1138,0.117869,0.118,0.137,0.1236,0.1154,0.117866,0.128,0.124,0.1264,0.1188,0.117864,0.14,0.139,0.1214,0.1159,0.117862,0.108,0.116,0.1128,0.1133,0.11786,0.116,0.118,0.1172,0.1169,0.117858,0.098,0.114,0.118,0.1157,0.117857,0.09,0.099,0.106,0.112,0.117855
0.08837144059475383,0.164,0.177,0.1922,0.2074,0.207882,0.084,0.08,0.0842,0.0921,0.0901356,0.06,0.091,0.0926,0.0897,0.089007,0.084,0.093,0.0876,0.0947,0.0887155,0.086,0.09,0.0824,0.0879,0.0885947,0.094,0.092,0.096,0.0937,0.0885319,0.102,0.101,0.092,0.0903,0.0884946,0.102,0.091,0.0864,0.0884,0.0884702,0.092,0.075,0.0854,0.085,0.0884533,0.084,0.087,0.0954,0.0902,0.088441,0.056,0.065,0.0794,0.0815,0.0884317,0.08,0.083,0.0928,0.0918,0.0884245,0.06,0.067,0.0898,0.0883,0.0884187,0.084,0.082,0.093,0.0882,0.088414,0.086,0.089,0.0922,0.0884,0.0884101,0.088,0.093,0.0946,0.0937,0.0884068,0.1,0.096,0.0864,0.0871,0.088404,0.068,0.076,0.0876,0.0842,0.0884016,0.092,0.095,0.0908,0.0891,0.0883995,0.096,0.096,0.0982,0.0933,0.0883977,0.096,0.103,0.1016,0.0926,0.0883961,0.08,0.096,0.0942,0.0879,0.0883946,0.088,0.098,0.0918,0.0857,0.0883934,0.108,0.096,0.0872,0.084,0.0883922,0.124,0.094,0.088,0.0827,0.0883912
0.07069715247580306,0.018,0.009,0.0272,0.0198,0.0221841,0.046,0.065,0.073,0.0702,0.0720155,0.048,0.051,0.0624,0.0658,0.0711836,0.078,0.077,0.0722,0.0705,0.0709624,0.068,0.065,0.066,0.0664,0.07087,0.088,0.079,0.0764,0.0712,0.0708218,0.098,0.093,0.0782,0.0734,0.070793,0.07,0.08,0.0704,0.0717,0.0707742,0.052,0.063,0.0748,0.0718,0.0707612,0.088,0.089,0.0796,0.0748,0.0707516,0.076,0.06,0.07,0.0721,0.0707444,0.086,0.08,0.067,0.0676,0.0707388,0.082,0.069,0.0634,0.0678,0.0707343,0.076,0.073,0.0742,0.0712,0.0707306,0.076,0.06,0.0694,0.0664,0.0707276,0.062,0.054,0.0594,0.064,0.070725,0.072,0.059,0.0658,0.0705,0.0707228,0.05,0.054,0.0708,0.0699,0.0707209,0.046,0.041,0.0644,0.071,0.0707193,0.05,0.054,0.064,0.0677,0.0707179,0.08,0.081,0.062,0.0673,0.0707166,0.074,0.082,0.0728,0.075,0.0707155,0.058,0.089,0.0756,0.0758,0.0707145,0.078,0.084,0.0706,0.0705,0.0707136,0.068,0.074,0.0648,0.0686,0.0707128
0.058914293729835886,0.132,0.12,0.1024,0.1223,0.137735,0.072,0.071,0.0606,0.0616,0.0599627,0.054,0.061,0.0624,0.0628,0.0592971,0.042,0.051,0.055,0.0576,0.059124,0.054,0.068,0.055,0.0573,0.0590516,0.09,0.074,0.06,0.0596,0.0590137,0.054,0.047,0.0516,0.0524,0.058991,0.052,0.05,0.0544,0.0529,0.0589762,0.038,0.042,0.0554,0.0572,0.0589658,0.042,0.039,0.0562,0.055,0.0589583,0.052,0.045,0.0536,0.0589,0.0589525,0.084,0.065,0.058,0.0598,0.058948,0.04,0.046,0.0536,0.0516,0.0589444,0.054,0.052,0.0582,0.0573,0.0589415,0.048,0.061,0.0584,0.0569,0.058939,0.078,0.062,0.0608,0.0615,0.058937,0.058,0.057,0.0582,0.0586,0.0589352,0.062,0.061,0.0524,0.0498,0.0589337,0.072,0.064,0.0564,0.0567,0.0589324,0.06,0.054,0.057,0.0578,0.0589312,0.052,0.058,0.06,0.0607,0.0589302,0.054,0.059,0.0644,0.0573,0.0589293,0.068,0.061,0.0606,0.0566,0.0589285,0.082,0.075,0.0592,0.0567,0.0589278,0.066,0.069,0.0582,0.058,0.0589271
0.05049796605414504,0.008,0.004,0.0284,0.0258,0.0142336,0.036,0.05,0.0492,0.0472,0.0512689,0.062,0.05,0.0486,0.0489,0.0507907,0.048,0.058,0.0592,0.0539,0.0506609,0.028,0.039,0.0534,0.052,0.0506059,0.038,0.057,0.0512,0.0525,0.0505768,0.044,0.04,0.049,0.0466,0.0505592,0.034,0.04,0.0494,0.0492,0.0505477,0.062,0.059,0.0522,0.0512,0.0505395,0.06,0.05,0.0516,0.0548,0.0505336,0.04,0.051,0.0502,0.0506,0.050529,0.034,0.038,0.0494,0.05,0.0505255,0.066,0.055,0.0518,0.0475,0.0505226,0.04,0.047,0.042,0.0453,0.0505202,0.044,0.045,0.0416,0.0492,0.0505183,0.024,0.032,0.0464,0.0479,0.0505166,0.052,0.04,0.049,0.0496,0.0505152,0.048,0.043,0.046,0.0452,0.050514,0.05,0.058,0.0496,0.049,0.0505129,0.062,0.077,0.0568,0.0556,0.050512,0.05,0.054,0.0546,0.0519,0.0505112,0.054,0.056,0.0498,0.0497,0.0505104,0.044,0.049,0.0536,0.0528,0.0505098,0.026,0.05,0.0554,0.0543,0.0505092,0.034,0.06,0.053,0.0506,0.0505086
0.04418572029737691,0.12,0.145,0.117,0.1105,0.105902,0.042,0.054,0.053,0.05,0.0447935,0.052,0.043,0.041,0.0435,0.0443967,0.06,0.052,0.0482,0.0442,0.0443034,0.044,0.043,0.043,0.0443,0.0442648,0.024,0.019,0.0356,0.0399,0.0442443,0.042,0.037,0.0432,0.0462,0.0442319,0.028,0.037,0.04,0.0414,0.0442236,0.022,0.031,0.0446,0.0454,0.0442177,0.036,0.04,0.0382,0.039,0.0442134,0.04,0.036,0.0454,0.0438,0.04421,0.042,0.043,0.0468,0.0442,0.0442074,0.02,0.035,0.0496,0.0476,0.0442053,0.044,0.058,0.0454,0.0433,0.0442035,0.048,0.047,0.0502,0.0465,0.044202,0.038,0.034,0.0406,0.0403,0.0442007,0.032,0.04,0.0426,0.0437,0.0441997,0.044,0.053,0.0436,0.0478,0.0441987,0.054,0.055,0.0466,0.0428,0.0441979,0.04,0.045,0.0442,0.0395,0.0441972,0.038,0.04,0.044,0.0408,0.0441965,0.044,0.037,0.0388,0.0401,0.044196,0.038,0.035,0.0378,0.0381,0.0441954,0.046,0.042,0.0468,0.044,0.044195,0.038,0.048,0.048,0.0451,0.0441945
0.03927619581989059,0.002,0.001,0.0006,0.0052,0.00627247,0.034,0.036,0.0294,0.0313,0.038782,0.038,0.039,0.0372,0.0348,0.0391559,0.076,0.056,0.0408,0.0375,0.0392333,0.056,0.054,0.037,0.0367,0.0392599,0.06,0.049,0.0396,0.0399,0.0392713,0.036,0.04,0.0388,0.0424,0.0392769,0.05,0.045,0.0446,0.0421,0.0392798,0.05,0.04,0.0376,0.0399,0.0392814,0.042,0.043,0.036,0.0365,0.0392823,0.044,0.043,0.0392,0.0402,0.0392827,0.03,0.031,0.0342,0.037,0.0392829,0.046,0.041,0.0348,0.037,0.039283,0.026,0.022,0.041,0.0408,0.0392829,0.028,0.028,0.0316,0.0354,0.0392828,0.048,0.048,0.0388,0.0393,0.0392827,0.05,0.041,0.042,0.0394,0.0392825,0.036,0.036,0.0404,0.042,0.0392824,0.028,0.035,0.0396,0.0386,0.0392822,0.032,0.034,0.0356,0.0347,0.0392821,0.026,0.033,0.0376,0.0402,0.0392819,0.026,0.035,0.0408,0.0403,0.0392817,0.026,0.037,0.0426,0.0422,0.0392816,0.014,0.026,0.0344,0.0356,0.0392814,0.028,0.03,0.0392,0.0403,0.0392813
