omega,run time
0.1,0.04196882247924805
0.175,0.03162813186645508
0.25,0.024538755416870117
0.32499999999999996,0.02332305908203125
0.4,0.021558046340942383
0.475,0.02133917808532715
0.5499999999999999,0.020261287689208984
0.625,0.018941164016723633
0.7,0.018648147583007812
0.7749999999999999,0.018721580505371094
0.85,0.018283843994140625
0.9249999999999999,0.016829252243041992
0.9999999999999999,0.01787590980529785
1.075,0.01715087890625
1.1500000000000001,0.017076492309570312
1.225,0.01697564125061035
1.3,0.020178556442260742
1.375,0.018464088439941406
1.45,0.01915740966796875
1.5250000000000001,0.019808530807495117
1.6,0.020729780197143555
1.675,0.022465229034423828
1.75,0.024043798446655273
1.825,0.028882265090942383
1.9,0.03993797302246094
