num_segsites,ver1_average.abs.error_M0.01,ver1_rel.error_M0.01,ver2_average.abs.error_M0.01,ver2_rel.error_M0.01,ver3_average.abs.error_M0.01,ver3_rel.error_M0.01,ver1_average.abs.error_M0.31622776601683794,ver1_rel.error_M0.31622776601683794,ver2_average.abs.error_M0.31622776601683794,ver2_rel.error_M0.31622776601683794,ver3_average.abs.error_M0.31622776601683794,ver3_rel.error_M0.31622776601683794,ver1_average.abs.error_M10.0,ver1_rel.error_M10.0,ver2_average.abs.error_M10.0,ver2_rel.error_M10.0,ver3_average.abs.error_M10.0,ver3_rel.error_M10.0
500,0.001184425000000001,0.20417004680702067,0.0016639249999999993,0.18062110558788347,0.0016639249999999993,0.18062110558788347,0.049716000000000045,0.36304375104617403,0.009716000000000016,0.07952456579245393,0.04371600000000003,0.2720581799661982,0.04205749999999994,0.28911215152019254,0.04205749999999994,0.2668135083382611,0.015942500000000012,0.1148830247377528
1000,0.0031844250000000007,0.48620652136628384,0.014336075000000007,1.3868254224447798,0.003184425000000001,0.3412080907889494,0.06071600000000004,0.4613246004415994,0.012578000000000047,0.15241577556513597,0.025578000000000052,0.2902000040029302,0.003057499999999977,0.019831055409193388,0.015742499999999993,0.1192110269187826,0.03705749999999994,0.23967552527531122
5000,0.0029844249999999685,0.35650397250622357,0.003184424999999968,0.2542090324425488,0.002448424999999988,0.4653414088780393,0.024116,0.2146797559841328,0.02351600000000005,0.23984421433506742,0.02351600000000005,0.23494949784093433,0.023857499999999948,0.1490774032844815,0.009542499999999982,0.07302983942384822,0.01294250000000001,0.11462033102284508
