panmictic_afs,observed M=0.1 nreps=500 ,observed M=0.1 nreps=1000 ,observed M=0.1 nreps=5000 ,observed M=0.1 nreps=10000 ,observed M=0.1 nreps=50000 ,observed M=0.1 nreps=100000 ,observed M=0.1 nreps=500000 ,observed M=0.1 nreps=1000000 ,panmictic_afs,panmictic_afs,panmictic_afs
0.38567493112947665,736,1780,7933,15889,80093,159206,796448,1589402,0.38567493112947665,0.38567493112947665,0.38567493112947665
0.19283746556473833,4495,8490,44246,86665,435117,873310,4357819,8729508,0.19283746556473833,0.19283746556473833,0.19283746556473833
0.1285583103764922,511,928,5575,10789,53732,108065,534619,1065382,0.1285583103764922,0.1285583103764922,0.1285583103764922
0.09641873278236916,2170,4104,20541,40043,210137,414864,2061817,4136217,0.09641873278236916,0.09641873278236916,0.09641873278236916
0.07713498622589533,282,689,3595,6613,33434,68774,338394,674345,0.07713498622589533,0.07713498622589533,0.07713498622589533
0.0642791551882461,1415,2863,14510,28183,140752,280645,1400147,2808153,0.0642791551882461,0.0642791551882461,0.0642791551882461
0.05509641873278237,155,403,1564,3087,15604,31550,157285,310758,0.05509641873278237,0.05509641873278237,0.05509641873278237
