repetitions,abs.error_0.1,rel.error_0.1,abs.error_1.0,rel.error_1.0,abs.error_10.0,rel.error_10.0
500,0.06738070103199177,0.5438214866116887,0.049212857142857114,0.38638073094178416,0.06484837078189301,0.7062432590360284
1000,0.05634831294251999,0.36692056418448027,0.023039722113502942,0.18477155995409977,0.02762567259201254,0.1993881087649948
5000,0.03584398465804069,0.30127572539105985,0.026761237798546222,0.21207517117757202,0.025118626322398363,0.2773150217767135
10000,0.04701838925076271,0.3499196918815147,0.016663522533495692,0.11661114641830372,0.016818350889790862,0.1633077378986585
50000,0.022176799808180214,0.16807259080478454,0.010379403769641984,0.08049880878988636,0.007398115235496536,0.076482544160685
100000,0.00817508072460428,0.06276363818216657,0.003791153849540027,0.03095166203510169,0.0034298618247680032,0.030804581303928824
500000,0.0036796296220696634,0.02692564900377581,0.00400652626877733,0.03232840962408157,0.0022063452553122975,0.018680664724520457
1000000,0.0018356707668785305,0.01420463971337338,0.002599095645625535,0.017369738634767873,0.001268942628215336,0.011609165837415114
