panmictic_afs,expected_afs_M0.01,5i_observed_afs_M0.01_nsegsites500,5i_observed_afs_M0.01_nsegsites1000,5i_observed_afs_M0.01_nsegsites5000,expected_afs_M0.31622776601683794,5i_observed_afs_M0.31622776601683794_nsegsites500,5i_observed_afs_M0.31622776601683794_nsegsites1000,5i_observed_afs_M0.31622776601683794_nsegsites5000,expected_afs_M10.0,5i_observed_afs_M10.0_nsegsites500,5i_observed_afs_M10.0_nsegsites1000,5i_observed_afs_M10.0_nsegsites5000,expected_afs_M0.01,10i_observed_afs_M0.01_nsegsites500,10i_observed_afs_M0.01_nsegsites1000,10i_observed_afs_M0.01_nsegsites5000,expected_afs_M0.31622776601683794,10i_observed_afs_M0.31622776601683794_nsegsites500,10i_observed_afs_M0.31622776601683794_nsegsites1000,10i_observed_afs_M0.31622776601683794_nsegsites5000,expected_afs_M10.0,10i_observed_afs_M10.0_nsegsites500,10i_observed_afs_M10.0_nsegsites1000,10i_observed_afs_M10.0_nsegsites5000,expected_afs_M0.01,15i_observed_afs_M0.01_nsegsites500,15i_observed_afs_M0.01_nsegsites1000,15i_observed_afs_M0.01_nsegsites5000,expected_afs_M0.31622776601683794,15i_observed_afs_M0.31622776601683794_nsegsites500,15i_observed_afs_M0.31622776601683794_nsegsites1000,15i_observed_afs_M0.31622776601683794_nsegsites5000,expected_afs_M10.0,15i_observed_afs_M10.0_nsegsites500,15i_observed_afs_M10.0_nsegsites1000,15i_observed_afs_M10.0_nsegsites5000,expected_afs_M0.01,20i_observed_afs_M0.01_nsegsites500,20i_observed_afs_M0.01_nsegsites1000,20i_observed_afs_M0.01_nsegsites5000,expected_afs_M0.31622776601683794,20i_observed_afs_M0.31622776601683794_nsegsites500,20i_observed_afs_M0.31622776601683794_nsegsites1000,20i_observed_afs_M0.31622776601683794_nsegsites5000,expected_afs_M10.0,20i_observed_afs_M10.0_nsegsites500,20i_observed_afs_M10.0_nsegsites1000,20i_observed_afs_M10.0_nsegsites5000
0.5454545454545455,0.400664,0.504,0.529,0.542,0.41852,0.448,0.463,0.4482,0.519534,0.516,0.535,0.5284,0.38248,0.48,0.52,0.5216,0.400487,0.418,0.423,0.4296,0.513274,0.518,0.515,0.5222,0.376418,0.548,0.532,0.5248,0.394464,0.408,0.43,0.4368,0.511061,0.53,0.51,0.5094,0.373387,0.506,0.514,0.5158,0.391451,0.458,0.44,0.4282,0.509931,0.54,0.502,0.518
0.27272727272727276,0.273218,0.27,0.281,0.2634,0.284115,0.278,0.263,0.2808,0.285728,0.274,0.27,0.281,0.273218,0.302,0.271,0.2724,0.284604,0.288,0.258,0.2802,0.288695,0.308,0.294,0.2818,0.273219,0.254,0.26,0.2586,0.28475,0.282,0.284,0.2692,0.289739,0.278,0.278,0.301,0.273219,0.238,0.29,0.2594,0.284821,0.25,0.293,0.2796,0.290272,0.276,0.299,0.2948
0.18181818181818182,0.326118,0.226,0.19,0.1946,0.297365,0.274,0.274,0.271,0.194738,0.21,0.195,0.1906,0.344302,0.218,0.209,0.206,0.314909,0.294,0.319,0.2902,0.19803,0.174,0.191,0.196,0.350363,0.198,0.208,0.2166,0.320785,0.31,0.286,0.294,0.1992,0.192,0.212,0.1896,0.353394,0.256,0.196,0.2248,0.323728,0.292,0.267,0.2922,0.199797,0.184,0.199,0.1872
