samples_size,ms_runtime_M0.1,qmd_runtime_M0.1,ms_runtime_M1.0,qmd_runtime_M1.0
4,0.21869945526123047,0.002969503402709961,0.2148430347442627,0.002167224884033203
6,0.3105950355529785,0.0044786930084228516,0.30276060104370117,0.004500389099121094
8,0.39830493927001953,0.02523517608642578,0.3954174518585205,0.05092573165893555
10,0.5076005458831787,0.42473626136779785,0.4812600612640381,0.36382341384887695
12,0.5848379135131836,5.520315885543823,0.5553174018859863,4.925174713134766
14,0.6572980880737305,156.79615330696106,0.6378669738769531,132.0145833492279
16,0.8181674480438232,2237.7425882816315,0.7274432182312012,1889.5997397899628
