repetitions,abs.error_0.1,rel.error_0.1,abs.error_1.0,rel.error_1.0,abs.error_10.0,rel.error_10.0
500,0.03667403109796182,0.4233529453330034,0.07634533581599127,0.6355633703109442,0.021805015789473733,0.21920336933505036
1000,0.06415253027616777,0.762404603378733,0.03700548087986466,0.3595348956422647,0.013797863878608388,0.12948650603077483
5000,0.022469630920258096,0.2581670553664195,0.02198988178292398,0.1839869029279506,0.012457799074141601,0.13565203820496718
10000,0.019168641359686964,0.2353952748556607,0.010891769993331829,0.08443660998080149,0.0076790223306758,0.0881983449409901
50000,0.0044799865331061235,0.05240025443253149,0.0077319189837844055,0.07369515393398218,0.004751890157995944,0.048516762170605965
100000,0.0027702648151490122,0.03523502812720747,0.006260517503192231,0.05765898814888626,0.002498418455817504,0.02533639131684251
500000,0.0017531023966677363,0.03733619649253739,0.0022172620229206075,0.014997401380797304,0.0012415010372264224,0.009169434232423668
1000000,0.0018834215665251702,0.02039289743594852,0.0014436109447514417,0.01032350618216571,0.0021498506128533393,0.019935800014112215
