samples_size,ms_runtime_M0.1,qmd_runtime_M0.1,ms_runtime_M1.0,qmd_runtime_M1.0
4,0.22589921951293945,0.0021157264709472656,0.30453944206237793,0.0030760765075683594
6,0.3149237632751465,0.0048618316650390625,0.35123491287231445,0.0045087337493896484
8,0.40630245208740234,0.028327226638793945,0.4129905700683594,0.024443626403808594
10,0.503108024597168,0.42208194732666016,0.4811692237854004,0.355438232421875
12,0.5733449459075928,6.118244647979736,0.5619339942932129,4.860959768295288
14,0.6573500633239746,163.05974507331848,0.6449952125549316,131.07879328727722
16,0.7212193012237549,2156.501640558243,0.725071907043457,1816.7745399475098
