repetitions,abs.error_0.1,rel.error_0.1,abs.error_1.0,rel.error_1.0,abs.error_10.0,rel.error_10.0
500,9763.0000006,65681.4108939218,9763.0000006,65681.4108939218,9763.0000006,65681.4108939218
1000,19256.0000006,140763.07193119117,19256.0000006,140763.07193119117,19256.0000006,140763.07193119117
5000,97963.0000006,690888.2864251529,97963.0000006,690888.2864251529,97963.0000006,690888.2864251529
10000,191268.00000059995,1341782.10955554,191268.00000059995,1341782.10955554,191268.00000059995,1341782.10955554
50000,968868.0000006001,6783134.902285527,968868.0000006001,6783134.902285527,968868.0000006001,6783134.902285527
100000,1936413.0000006,13616731.990088478,1936413.0000006,13616731.990088478,1936413.0000006,13616731.990088478
500000,9646528.0000006,67700618.05173492,9646528.0000006,67700618.05173492,9646528.0000006,67700618.05173492
1000000,19313764.0000006,135126632.52668446,19313764.0000006,135126632.52668446,19313764.0000006,135126632.52668446
