samples_size,ms_runtime,qmd_runtime
4,1.8585431575775146,0.013724803924560547
6,1.9932246208190918,0.018073081970214844
8,2.1433651447296143,0.036000728607177734
10,2.3340072631835938,0.3569347858428955
12,2.5745849609375,5.479601144790649
14,2.660857677459717,107.51213645935059
