samples_size,ms_runtime_M0.1,qmd_runtime_M0.1,ms_runtime_M1.0,qmd_runtime_M1.0
4,0.2551259994506836,0.002004861831665039,0.32547950744628906,0.0031120777130126953
6,0.3417322635650635,0.00438380241394043,0.36035585403442383,0.005419492721557617
8,0.4260725975036621,0.025000572204589844,0.44130396842956543,0.023851871490478516
10,0.5078146457672119,0.39350080490112305,0.5186402797698975,0.3454556465148926
12,0.6084644794464111,5.515861749649048,0.6115303039550781,4.8243889808654785
14,0.6967911720275879,121.6572699546814,0.6879522800445557,126.88549566268921
16,0.7764406204223633,2100.1812765598297,0.7785532474517822,1790.9388680458069
