samples_size,ms_runtime_M0.1,qmd_runtime_M0.1,ms_runtime_M1.0,qmd_runtime_M1.0,ms_runtime_M10.0,qmd_runtime_M10.0
4,0.3924293518066406,0.01409459114074707,1.4589428901672363,0.01544642448425293,9.24280858039856,0.01507711410522461
6,0.42116737365722656,0.016015291213989258,1.5956401824951172,0.016776323318481445,9.73153805732727,0.024161577224731445
8,0.5022213459014893,0.038715362548828125,1.6993484497070312,0.0345613956451416,10.186569213867188,0.10408234596252441
10,0.589921236038208,0.4188830852508545,1.8663692474365234,0.3716578483581543,10.59009075164795,1.60371994972229
12,0.7001843452453613,5.623880624771118,1.988144874572754,4.7717695236206055,11.006195068359375,21.742368936538696
14,0.7830991744995117,129.72535300254822,2.1240768432617188,110.91006088256836,11.370628356933594,483.1837463378906
16,0.8727257251739502,2066.486883163452,2.270501136779785,1748.1677312850952,11.92811369895935,7339.7775456905365
