num_segsites,ver1_average.abs.error_M0.01,ver1_rel.error_M0.01,ver2_average.abs.error_M0.01,ver2_rel.error_M0.01,ver3_average.abs.error_M0.01,ver3_rel.error_M0.01,ver1_average.abs.error_M0.021544346900318832,ver1_rel.error_M0.021544346900318832,ver2_average.abs.error_M0.021544346900318832,ver2_rel.error_M0.021544346900318832,ver3_average.abs.error_M0.021544346900318832,ver3_rel.error_M0.021544346900318832,ver1_average.abs.error_M0.046415888336127774,ver1_rel.error_M0.046415888336127774,ver2_average.abs.error_M0.046415888336127774,ver2_rel.error_M0.046415888336127774,ver3_average.abs.error_M0.046415888336127774,ver3_rel.error_M0.046415888336127774,ver1_average.abs.error_M0.1,ver1_rel.error_M0.1,ver2_average.abs.error_M0.1,ver2_rel.error_M0.1,ver3_average.abs.error_M0.1,ver3_rel.error_M0.1,ver1_average.abs.error_M0.21544346900318834,ver1_rel.error_M0.21544346900318834,ver2_average.abs.error_M0.21544346900318834,ver2_rel.error_M0.21544346900318834,ver3_average.abs.error_M0.21544346900318834,ver3_rel.error_M0.21544346900318834,ver1_average.abs.error_M0.46415888336127775,ver1_rel.error_M0.46415888336127775,ver2_average.abs.error_M0.46415888336127775,ver2_rel.error_M0.46415888336127775,ver3_average.abs.error_M0.46415888336127775,ver3_rel.error_M0.46415888336127775,ver1_average.abs.error_M1.0,ver1_rel.error_M1.0,ver2_average.abs.error_M1.0,ver2_rel.error_M1.0,ver3_average.abs.error_M1.0,ver3_rel.error_M1.0,ver1_average.abs.error_M2.154434690031882,ver1_rel.error_M2.154434690031882,ver2_average.abs.error_M2.154434690031882,ver2_rel.error_M2.154434690031882,ver3_average.abs.error_M2.154434690031882,ver3_rel.error_M2.154434690031882,ver1_average.abs.error_M4.6415888336127775,ver1_rel.error_M4.6415888336127775,ver2_average.abs.error_M4.6415888336127775,ver2_rel.error_M4.6415888336127775,ver3_average.abs.error_M4.6415888336127775,ver3_rel.error_M4.6415888336127775,ver1_average.abs.error_M10.0,ver1_rel.error_M10.0,ver2_average.abs.error_M10.0,ver2_rel.error_M10.0,ver3_average.abs.error_M10.0,ver3_rel.error_M10.0
500,0.006848424999999999,1.218688943444726,0.006848424999999999,1.218688943444726,0.009184425000000003,1.0423190838894048,0.00695500000000002,0.25258907266033603,0.011354099999999989,0.7660149524254629,0.012955000000000019,1.0028460479301724,0.004081150000000002,0.12402949094827598,0.008081150000000004,0.2292345115651424,0.03208114999999996,0.9353802139781596,0.026927149999999962,0.5273443265332077,0.048298149999999984,0.6452170503280065,0.020298149999999966,0.3007931005114851,0.02535994999999997,0.2969785115044339,0.03624695000000004,0.5524847485602342,0.03535994999999998,0.4182041891749454,0.04076499999999998,0.27238204467033145,0.02601500000000001,0.1794052982285277,0.002015000000000003,0.016811674393039655,0.03176100000000001,0.24812357789131778,0.016856999999999983,0.14060596169083683,0.019761,0.1619916152100409,0.016860999999999987,0.1097599683563586,0.011091000000000018,0.09384882502963565,0.03223000000000002,0.234715877859193,0.026948000000000027,0.1627088540096291,0.014823999999999976,0.11946883502111427,0.018948000000000048,0.11221313270711264,0.011315499999999992,0.0729487472490764,0.03605749999999994,0.25654657184465257,0.018684499999999993,0.1536008014878787
1000,0.0063360750000000035,0.6816258544579867,0.003815575000000001,0.2834234937251361,0.001184425000000001,0.20417004680702067,0.015354099999999989,0.7860266123176549,0.008354099999999986,0.44019244986773987,0.012955000000000022,0.45214133939239465,0.012931450000000002,0.5179444654437122,0.0019314499999999978,0.08141983361475758,0.00408115,0.14275838562623067,0.013629150000000045,0.3484972250823396,0.009927149999999954,0.20423095198311203,0.024927149999999947,0.6290078814585266,0.02060694999999997,0.2735997798005536,0.013359949999999968,0.15746818818611064,0.03135994999999997,0.31606950913012766,0.03876499999999997,0.31296192768209763,0.010014999999999996,0.07283121167068152,0.04276499999999998,0.31173837001930405,0.03085699999999998,0.25788986066412245,0.012903999999999985,0.07654921975244466,0.027761000000000008,0.18631382350526227,0.010091000000000017,0.08248330283018968,0.008230000000000015,0.04690176723356587,0.034230000000000024,0.2180120768913134,0.03794800000000002,0.24909910321067363,0.03494800000000005,0.24512670690759863,0.02294800000000005,0.14544152625723417,0.011315499999999992,0.07648883893570169,0.030057499999999945,0.171950824744606,0.012684500000000001,0.0856343049460857
5000,0.003184424999999978,0.5732055797126843,0.003584425000000002,0.2816166412389347,0.0043360750000000035,0.3561309400051651,0.0049550000000000176,0.32374782755076104,0.007554999999999977,0.39645285875454195,0.0045090000000000295,0.38076616352347925,0.005081150000000001,0.15594941450587896,0.007531449999999995,0.3341900528612285,0.011450450000000011,0.45265333107438743,0.014927149999999997,0.3139758281923759,0.013527149999999964,0.28678794812048813,0.018498149999999956,0.3017173119965947,0.03835994999999997,0.38304601384061443,0.032959949999999995,0.3402340094664419,0.027959949999999997,0.28319746456296035,0.02456499999999997,0.20139805526194376,0.010550000000000004,0.09989199997199749,0.017150000000000033,0.15758238531563462,0.017361,0.1440559562418079,0.013760999999999982,0.11112370311764685,0.012857000000000007,0.10695686434975837,0.020230000000000026,0.15082055123307603,0.013090999999999978,0.10196822385639426,0.019490999999999994,0.15394364854086962,0.01034800000000001,0.0752878913619347,0.01574800000000004,0.0983992705051967,0.028747999999999982,0.19422123687232473,0.015257499999999993,0.09905527593891816,0.014342500000000022,0.10665626329988143,0.018657499999999966,0.1268002057475287
10000,0.003684424999999985,0.4044672878998987,0.0017484249999999988,0.26269940444199347,0.002084424999999989,0.36733606800302254,0.0033550000000000134,0.2223472277584898,0.0028089999999999773,0.2414816671239184,0.004354999999999986,0.3588630717313329,0.00903144999999996,0.37000784483949134,0.0076314499999999685,0.37606494026052606,0.008731449999999977,0.3740421022261402,0.012527149999999976,0.26877306761942,0.012427149999999967,0.2654260423497188,0.015627149999999958,0.36339813104617846,0.02065995000000001,0.22629331626082605,0.02125994999999998,0.23833524883008872,0.022859949999999997,0.25892345523462856,0.02635,0.24399489064759272,0.021849999999999967,0.20541522848601168,0.021849999999999994,0.20705039336326225,0.018156999999999993,0.15172690382704956,0.023056999999999994,0.19218950310761884,0.021861000000000005,0.17990177440717547,0.015491000000000019,0.1169409334953736,0.01313000000000003,0.09522835327659207,0.01243000000000001,0.08996410665816235,0.018848000000000045,0.1322315650666398,0.012447999999999987,0.08804423489766622,0.019547999999999996,0.12916819108792543,0.006657499999999941,0.04791821643425764,0.01445749999999997,0.09861546120568399,0.021357499999999974,0.14405622497274706
50000,0.0023044249999999824,0.33601075505628786,0.0024844250000000036,0.2555451834451675,0.002964424999999994,0.3609335292894975,0.004229000000000007,0.3845893010605116,0.005115000000000017,0.47775949263548256,0.003849000000000025,0.36885365051803887,0.009691449999999992,0.4023875893657637,0.00859144999999999,0.37965736093401004,0.00919144999999997,0.38926960792224086,0.014798149999999989,0.281690378370984,0.013207149999999997,0.27242437928386054,0.013787149999999946,0.2775057807209811,0.023979950000000007,0.28072620717680674,0.019386950000000014,0.23852199520319972,0.023399949999999996,0.2728606492878365,0.024324999999999965,0.21409297530498594,0.02276499999999996,0.20544060636490702,0.023784999999999973,0.20241497524549068,0.01737699999999999,0.1448764559940553,0.017456999999999973,0.14588247360630358,0.018436999999999995,0.15374646379585988,0.015830999999999998,0.12259321504082787,0.012990999999999989,0.1000434118095318,0.014311000000000004,0.1152573854566078,0.01600800000000001,0.11478441597817801,0.01282800000000002,0.08802867045762974,0.018568,0.12591531106869946,0.015237499999999987,0.10507885088169733,0.01943749999999997,0.13207433445383898,0.021897499999999973,0.1403346985942695
100000,0.0025644250000000164,0.2769765325679514,0.002314424999999971,0.3091462434665039,0.0019544250000000135,0.2844793955497569,0.004954999999999979,0.4283817221729387,0.0035649999999999805,0.34016087968733977,0.0045650000000000196,0.3796150187803995,0.008301450000000005,0.35796915174733634,0.008451449999999961,0.36272964839593114,0.007461449999999974,0.31754884427748276,0.013607149999999953,0.2672660337275363,0.015067149999999977,0.29618112219404613,0.015107149999999955,0.3045451014818984,0.022289949999999968,0.24897374176540132,0.019689949999999998,0.2323562902867944,0.023759950000000002,0.2731716405612974,0.024054999999999972,0.2132605062199373,0.021809999999999975,0.20177848911064034,0.021314999999999994,0.19161132565641692,0.018716999999999998,0.15619528894915036,0.016596999999999987,0.13841018505997715,0.017957,0.14987521347719335,0.015641000000000016,0.11914563391065291,0.013981000000000007,0.1070752048355581,0.015010999999999997,0.11511916838323566,0.016728000000000035,0.11527891044923166,0.01690800000000002,0.1165746748365154,0.01564799999999998,0.10820262075417841,0.021027499999999963,0.1389017394106511,0.015027499999999958,0.10470092590176949,0.017657499999999965,0.1194586422618229
500000,0.0023184250000000102,0.3068103478040759,0.0024964250000000057,0.31407678707883824,0.002388425000000001,0.3084167138707421,0.003811000000000001,0.37739219599872176,0.004256999999999985,0.37942169668563475,0.0043289999999999865,0.38677266626325946,0.008665449999999986,0.3696843461952828,0.008271450000000003,0.35742960352538644,0.008101450000000001,0.34317434781870204,0.014339149999999981,0.28313935094874,0.014371149999999947,0.2890999167843049,0.01429314999999997,0.2855057133887421,0.023741949999999963,0.2668737346574741,0.021431949999999998,0.2508035038679395,0.023163949999999975,0.2613689339394637,0.02187699999999996,0.19733997013247506,0.022560999999999963,0.1996760789330978,0.022820999999999994,0.20358915093419216,0.018100999999999992,0.1510709915523264,0.017838999999999994,0.1488444130042711,0.017859000000000014,0.14897788492279518,0.014481000000000008,0.11216580977262092,0.013124999999999998,0.10054357659420843,0.014357000000000009,0.11081223998325718,0.015052000000000024,0.10597295183372302,0.01653800000000004,0.1129803186614784,0.013998000000000024,0.09891911877394843,0.016853499999999938,0.1138424141265818,0.016793499999999975,0.11450161507036194,0.018735499999999974,0.1239196426518544
