samples_size,5i_ms_runtime_M0.1,5i_qmd_runtime_M0.1,5i_ms_runtime_M3.1622776601683795,5i_qmd_runtime_M3.1622776601683795,5i_ms_runtime_M100.0,5i_qmd_runtime_M100.0,10i_ms_runtime_M0.1,10i_qmd_runtime_M0.1,10i_ms_runtime_M3.1622776601683795,10i_qmd_runtime_M3.1622776601683795,10i_ms_runtime_M100.0,10i_qmd_runtime_M100.0,15i_ms_runtime_M0.1,15i_qmd_runtime_M0.1,15i_ms_runtime_M3.1622776601683795,15i_qmd_runtime_M3.1622776601683795,15i_ms_runtime_M100.0,15i_qmd_runtime_M100.0,20i_ms_runtime_M0.1,20i_qmd_runtime_M0.1,20i_ms_runtime_M3.1622776601683795,20i_qmd_runtime_M3.1622776601683795,20i_ms_runtime_M100.0,20i_qmd_runtime_M100.0
4,9.412439346313477,0.003369569778442383,5.530524492263794,0.0033729076385498047,75.38471961021423,0.0049130916595458984,21.72135090827942,0.0046961307525634766,11.422749042510986,0.003515005111694336,176.92653489112854,0.005040645599365234,34.906416177749634,0.003393888473510742,18.553200244903564,0.0025260448455810547,301.1209373474121,0.00512242317199707,44.50809383392334,0.002374887466430664,27.104130744934082,0.003515005111694336,459.7879433631897,0.003979206085205078
6,15.584486961364746,0.004682064056396484,8.056076049804688,0.0068700313568115234,102.93278217315674,0.0698692798614502,33.91485571861267,0.004896402359008789,16.19272541999817,0.006421804428100586,241.8406662940979,0.08416080474853516,51.736539125442505,0.00490880012512207,25.436861276626587,0.006570577621459961,390.04028487205505,0.08766007423400879,70.71162414550781,0.005012035369873047,37.018837213516235,0.0066394805908203125,625.3072195053101,0.08780694007873535
8,21.227747201919556,0.02150869369506836,10.439570903778076,0.028627395629882812,126.8098816871643,0.5402030944824219,44.290852785110474,0.027683734893798828,20.319597721099854,0.04053378105163574,287.85357427597046,0.7373092174530029,67.14035391807556,0.027184247970581055,31.523030042648315,0.03977799415588379,463.6023123264313,0.7720053195953369,92.27495098114014,0.02726435661315918,45.04784655570984,0.04111003875732422,699.8842730522156,0.7802131175994873
