samples_size,ms_runtime_M0.1,qmd_runtime_M0.1,ms_runtime_M1.0,qmd_runtime_M1.0
4,0.23116183280944824,0.1551213264465332,0.21238040924072266,0.003135204315185547
6,0.33809828758239746,0.0044400691986083984,0.2956085205078125,0.005595684051513672
8,0.38591885566711426,0.027951717376708984,0.3796224594116211,0.024718523025512695
10,0.4648144245147705,0.4009513854980469,0.4598255157470703,0.3567485809326172
12,0.5470569133758545,5.620752811431885,0.5401692390441895,5.121286153793335
14,0.6407797336578369,160.68917870521545,0.6196262836456299,126.79897427558899
16,0.7426609992980957,2393.3143808841705,0.7005071640014648,1791.066659450531
