num_segsites,average.abs.error_0.1,rel.error_0.1,average.abs.error_1,rel.error_1,average.abs.error_10,rel.error_10
500,0.06054499999999999,0.39132157295084535,0.053038999999999975,0.3351198384002412,0.042030500000000026,0.31732465140534427
1000,0.055752000000000024,0.3614575786578481,0.015038999999999997,0.09367483805431098,0.026695499999999997,0.15989330597553508
5000,0.022345000000000004,0.14718895224739081,0.018647000000000025,0.12055573069396153,0.0013254999999999656,0.007220610588286935
10000,0.009747999999999979,0.06219356740966231,0.019147000000000025,0.11622019004286499,0.005325499999999955,0.032358100850879756
50000,0.005047999999999997,0.031845142709302166,0.004952999999999985,0.031369073054895114,0.0036154999999999937,0.029832677637214977
