omega,run time
0.1,0.06559133529663086
0.175,0.04317665100097656
0.25,0.03386044502258301
0.32499999999999996,0.02897357940673828
0.4,0.027559995651245117
0.475,0.025000572204589844
0.5499999999999999,0.022750377655029297
0.625,0.022089719772338867
0.7,0.022113323211669922
0.7749999999999999,0.019243240356445312
0.85,0.02069401741027832
0.9249999999999999,0.01880621910095215
0.9999999999999999,0.018989086151123047
1.075,0.01757359504699707
1.1500000000000001,0.019221067428588867
1.225,0.01751995086669922
1.3,0.018602848052978516
1.375,0.020323753356933594
1.45,0.018879175186157227
1.5250000000000001,0.019842863082885742
1.6,0.020049571990966797
1.675,0.021087646484375
1.75,0.023064136505126953
1.825,0.02934718132019043
1.9,0.039263248443603516
