repetitions,abs.error_10.0,rel.error_10.0
500,0.055720491780821904,0.3110604559380489
1000,0.05851964690265482,0.29220211304046395
5000,0.028274686432561813,0.13989046007589978
10000,0.007824173763038178,0.05474768804401042
50000,0.00836653572749256,0.042045218224496805
100000,0.0014530380364412704,0.009285656618317928
500000,0.001844300000000021,0.010808525200165842
1000000,0.0028103000000000156,0.01594399625917342
