panmictic_afs,observed_afs_M0.1_nsegsites500,observed_afs_M0.1_nsegsites1000,observed_afs_M0.1_nsegsites5000,observed_afs_M0.1_nsegsites10000,observed_afs_M0.1_nsegsites50000,expected_afs_M0.1,observed_afs_M1_nsegsites500,observed_afs_M1_nsegsites1000,observed_afs_M1_nsegsites5000,observed_afs_M1_nsegsites10000,observed_afs_M1_nsegsites50000,expected_afs_M1,observed_afs_M10_nsegsites500,observed_afs_M10_nsegsites1000,observed_afs_M10_nsegsites5000,observed_afs_M10_nsegsites10000,observed_afs_M10_nsegsites50000,expected_afs_M10
0.5454545454545455,0.396,0.373,0.3884,0.3933,0.39172,0.388207,0.394,0.418,0.4214,0.4154,0.43188,0.429286,0.54,0.535,0.5146,0.5186,0.51358,0.513274
0.27272727272727276,0.33,0.333,0.2994,0.2675,0.2722,0.277248,0.278,0.292,0.3144,0.3149,0.2908,0.295753,0.304,0.262,0.2874,0.2856,0.28508,0.288695
0.18181818181818182,0.274,0.294,0.3122,0.3392,0.33608,0.334545,0.328,0.29,0.2642,0.2697,0.27732,0.274961,0.156,0.203,0.198,0.1958,0.20134,0.19803
