samples_size,5i_ms_runtime,5i_qmd_runtime,10i_ms_runtime,10i_qmd_runtime,15i_ms_runtime,15i_qmd_runtime,20i_ms_runtime,20i_qmd_runtime
4,3.2596499919891357,0.13791322708129883,6.005656719207764,0.004338979721069336,9.462725639343262,0.0042417049407958984,13.19731092453003,0.0042917728424072266
6,4.723028898239136,0.005027294158935547,8.311604976654053,0.00528264045715332,12.426103830337524,0.005457878112792969,17.372103691101074,0.0054476261138916016
8,5.8333587646484375,0.018726348876953125,10.215746402740479,0.027701139450073242,15.022445678710938,0.025658369064331055,20.657509088516235,0.026412010192871094
10,6.975466728210449,0.26967740058898926,11.888863801956177,0.36708879470825195,17.402203798294067,0.356201171875,24.126741647720337,0.3670327663421631
12,8.061836242675781,3.36197829246521,13.404239892959595,4.926340818405151,19.669357299804688,5.052945137023926,27.150447845458984,4.8474860191345215
