num_segsites,5i_average.abs.error_M0.01,5i_rel.error_M0.01,5i_average.abs.error_M0.31622776601683794,5i_rel.error_M0.31622776601683794,5i_average.abs.error_M10.0,5i_rel.error_M10.0,10i_average.abs.error_M0.01,10i_rel.error_M0.01,10i_average.abs.error_M0.31622776601683794,10i_rel.error_M0.31622776601683794,10i_average.abs.error_M10.0,10i_rel.error_M10.0,15i_average.abs.error_M0.01,15i_rel.error_M0.01,15i_average.abs.error_M0.31622776601683794,15i_rel.error_M0.31622776601683794,15i_average.abs.error_M10.0,15i_rel.error_M10.0,20i_average.abs.error_M0.01,20i_rel.error_M0.01,20i_average.abs.error_M0.31622776601683794,20i_rel.error_M0.31622776601683794,20i_average.abs.error_M10.0,20i_rel.error_M10.0
500,0.103336,0.5766893138337142,0.02947999999999998,0.17053513387859887,0.015261999999999998,0.12622024593591874,0.12630199999999997,0.7271469600234232,0.020908999999999983,0.12205858793458824,0.024030500000000024,0.19742268845340227,0.171582,0.9610430324805435,0.013535500000000006,0.0775931621972602,0.01893900000000001,0.11371855138724174,0.13261299999999998,0.7596623347373753,0.06654900000000002,0.39026988918002226,0.030068999999999985,0.18719972983387156
1000,0.13611800000000002,0.7661798361997213,0.04447999999999999,0.2591712379135418,0.015727999999999978,0.08615974051153452,0.13752000000000003,0.7606410433903839,0.026604000000000017,0.16268236654493784,0.007030500000000009,0.05723819263163299,0.155582,0.8680348629234889,0.035535500000000025,0.20115780590883003,0.012799999999999992,0.10684887576501156,0.15739399999999998,0.8833856699674497,0.056728,0.3279729963694573,0.008728000000000014,0.04961048320344885
5000,0.14133600000000002,0.7919725766050434,0.029679999999999984,0.17124645565002905,0.008865999999999943,0.054861561705607076,0.13912000000000002,0.768413436094246,0.029113,0.16663206474073156,0.008925499999999989,0.0515246308992765,0.14838200000000001,0.8294853147245618,0.042335500000000026,0.24543298296344407,0.011260999999999993,0.0903088862395297,0.14241299999999998,0.7958698440823101,0.036749000000000004,0.2096001404756116,0.012597000000000011,0.09447186637705551
