expected afs,ms snp=500 t=0.1,sampling snp=500 t=0.1,ms snp=500 t=1,sampling snp=500 t=1,ms snp=500 t=10,sampling snp=500 t=10,ms snp=1000 t=0.1,sampling snp=1000 t=0.1,ms snp=1000 t=1,sampling snp=1000 t=1,ms snp=1000 t=10,sampling snp=1000 t=10,ms snp=5000 t=0.1,sampling snp=5000 t=0.1,ms snp=5000 t=1,sampling snp=5000 t=1,ms snp=5000 t=10,sampling snp=5000 t=10,ms snp=10000 t=0.1,sampling snp=10000 t=0.1,ms snp=10000 t=1,sampling snp=10000 t=1,ms snp=10000 t=10,sampling snp=10000 t=10,ms snp=50000 t=0.1,sampling snp=50000 t=0.1,ms snp=50000 t=1,sampling snp=50000 t=1,ms snp=50000 t=10,sampling snp=50000 t=10
0.28186961182070197,0.29,0.268,0.292,0.268,0.274,0.268,0.29,0.308,0.315,0.308,0.315,0.308,0.289,0.292,0.291,0.292,0.2912,0.292,0.2863,0.2844,0.2986,0.2844,0.3,0.2844,0.28236,0.2852,0.29696,0.2852,0.30314,0.2852
0.14093480591035099,0.162,0.14,0.164,0.14,0.158,0.14,0.132,0.13,0.147,0.13,0.138,0.13,0.1368,0.1434,0.1568,0.1434,0.1466,0.1434,0.1335,0.1415,0.1461,0.1415,0.1416,0.1415,0.1412,0.14168,0.1479,0.14168,0.14124,0.14168
0.09395653727356731,0.062,0.084,0.082,0.084,0.108,0.084,0.101,0.092,0.095,0.092,0.085,0.092,0.0894,0.0912,0.0938,0.0912,0.0932,0.0912,0.0966,0.0892,0.0949,0.0892,0.0945,0.0892,0.09376,0.0924,0.09628,0.0924,0.09752,0.0924
0.07046740295517549,0.086,0.074,0.05,0.074,0.056,0.074,0.07,0.066,0.076,0.066,0.082,0.066,0.0728,0.0694,0.0742,0.0694,0.0658,0.0694,0.0719,0.0707,0.0678,0.0707,0.0722,0.0707,0.0714,0.07134,0.0722,0.07134,0.0718,0.07134
0.0563739223641404,0.06,0.052,0.064,0.052,0.058,0.052,0.049,0.063,0.058,0.063,0.064,0.063,0.0594,0.0618,0.0544,0.0618,0.0592,0.0618,0.0608,0.0534,0.0557,0.0534,0.0536,0.0534,0.05604,0.05546,0.05638,0.05546,0.0545,0.05546
0.04697826863678366,0.048,0.054,0.05,0.054,0.048,0.054,0.043,0.04,0.064,0.04,0.045,0.04,0.0508,0.0424,0.0424,0.0424,0.0478,0.0424,0.0479,0.0496,0.0497,0.0496,0.0474,0.0496,0.04602,0.04744,0.04638,0.04744,0.0454,0.04744
0.040267087402957424,0.044,0.048,0.052,0.048,0.04,0.048,0.036,0.034,0.036,0.034,0.03,0.034,0.0348,0.0398,0.0392,0.0398,0.0386,0.0398,0.0438,0.0397,0.0385,0.0397,0.038,0.0397,0.0404,0.04004,0.038,0.04004,0.03906,0.04004
0.035233701477587746,0.038,0.046,0.038,0.046,0.034,0.046,0.046,0.041,0.025,0.041,0.032,0.041,0.0334,0.0304,0.0318,0.0304,0.036,0.0304,0.0354,0.0351,0.0338,0.0351,0.0327,0.0351,0.03564,0.03702,0.03372,0.03702,0.03482,0.03702
0.031318845757855776,0.032,0.026,0.024,0.026,0.028,0.026,0.028,0.023,0.022,0.023,0.03,0.023,0.0294,0.029,0.0318,0.029,0.0324,0.029,0.0274,0.0309,0.0273,0.0309,0.0311,0.0309,0.0311,0.03204,0.02974,0.03204,0.02906,0.03204
0.0281869611820702,0.028,0.038,0.024,0.038,0.026,0.038,0.028,0.03,0.018,0.03,0.029,0.03,0.0318,0.0286,0.0278,0.0286,0.0298,0.0286,0.0282,0.0268,0.0286,0.0268,0.0286,0.0268,0.0282,0.02676,0.02762,0.02676,0.02624,0.02676
0.025624510165518363,0.018,0.02,0.018,0.02,0.02,0.02,0.024,0.023,0.015,0.023,0.022,0.023,0.0214,0.025,0.023,0.025,0.0226,0.025,0.0231,0.0253,0.0256,0.0253,0.0225,0.0253,0.02536,0.0257,0.02398,0.0257,0.02412,0.0257
0.02348913431839183,0.016,0.02,0.026,0.02,0.024,0.02,0.025,0.033,0.025,0.033,0.012,0.033,0.0236,0.0254,0.023,0.0254,0.022,0.0254,0.0224,0.0241,0.0194,0.0241,0.022,0.0241,0.0223,0.02296,0.02198,0.02296,0.02084,0.02296
0.021682277832361693,0.022,0.02,0.018,0.02,0.028,0.02,0.018,0.021,0.017,0.021,0.014,0.021,0.0222,0.0234,0.0172,0.0234,0.0218,0.0234,0.0212,0.0246,0.0227,0.0246,0.0189,0.0246,0.02156,0.02154,0.01872,0.02154,0.01974,0.02154
0.020133543701478712,0.02,0.014,0.018,0.014,0.028,0.014,0.021,0.02,0.019,0.02,0.017,0.02,0.0226,0.019,0.0206,0.019,0.0202,0.019,0.0204,0.02,0.0184,0.02,0.021,0.02,0.02066,0.01968,0.01782,0.01968,0.0189,0.01968
0.018791307454713465,0.012,0.024,0.022,0.024,0.012,0.024,0.02,0.017,0.009,0.017,0.023,0.017,0.0174,0.0176,0.0164,0.0176,0.0172,0.0176,0.018,0.017,0.0169,0.017,0.0138,0.017,0.01888,0.01746,0.01568,0.01746,0.01766,0.01746
0.017616850738793873,0.026,0.02,0.022,0.02,0.012,0.02,0.025,0.016,0.019,0.016,0.018,0.016,0.0166,0.0168,0.0152,0.0168,0.014,0.0168,0.0164,0.0205,0.0164,0.0205,0.0166,0.0205,0.01882,0.01652,0.01524,0.01652,0.01586,0.01652
